order_id;customer_id;order_status_id;valor;date_added
2214;108;4;433,96;01/10/2021 08:20
2215;206;1;481,53;01/10/2021 08:27
2216;163;4;448,19;01/10/2021 08:58
2217;225;4;278,55;01/10/2021 09:15
2218;163;3;481,5;01/10/2021 09:16
2219;225;4;221,45;01/10/2021 09:16
2220;225;2;220,31;01/10/2021 09:21
2221;100;2;1537,44;01/10/2021 09:51
2222;18;2;3613,03;01/10/2021 09:55
2223;;2;3797,42;01/10/2021 10:29
2224;64;3;408,12;01/10/2021 11:00
2225;227;4;491,23;01/10/2021 11:19
2226;190;2;454,66;01/10/2021 12:24
2227;229;2;623,21;01/10/2021 13:17
2228;231;4;518,52;01/10/2021 13:41
2229;231;3;283,44;01/10/2021 13:43
2230;19;4;1586,42;01/10/2021 13:52
2231;80;4;229,68;01/10/2021 14:22
2232;;1;445;01/10/2021 14:26
2233;116;4;442,53;01/10/2021 15:55
2234;116;1;503,18;01/10/2021 16:31
2235;202;2;444,24;01/10/2021 16:47
2236;234;4;256,3;01/10/2021 17:26
2237;236;3;243,61;01/10/2021 18:36
2238;223;5;2458,03;01/10/2021 18:41
2239;238;4;2455,91;01/10/2021 18:52
2240;238;4;2501,05;01/10/2021 18:57
2241;78;1;2940,81;01/10/2021 20:53
2242;67;4;299,31;02/10/2021 09:10
2243;67;4;320,79;02/10/2021 09:12
2244;67;3;305,48;02/10/2021 09:12
2245;;1;3381,1;02/10/2021 12:12
2246;173;2;3447,97;02/10/2021 13:09
2247;;1;250,97;02/10/2021 15:59
2248;245;4;3803,3;02/10/2021 18:06
2249;245;4;687,26;02/10/2021 18:19
2250;248;4;2507,19;02/10/2021 21:31
2251;250;4;301,65;02/10/2021 21:49
2252;19;4;1460,87;03/10/2021 10:36
2253;19;2;1494,82;03/10/2021 10:38
2254;32;2;2886,56;03/10/2021 13:14
2255;1;4;39656,26;03/10/2021 16:25
2256;51;4;2339,37;04/10/2021 09:33
2257;4;4;295,45;04/10/2021 09:36
2258;4;2;378,71;04/10/2021 09:37
2259;49;4;515,1;04/10/2021 11:13
2260;49;4;445,62;04/10/2021 11:21
2261;189;2;3540,26;04/10/2021 11:52
2262;49;4;837,52;04/10/2021 13:37
2263;103;3;567,19;04/10/2021 13:39
2264;49;4;516,47;04/10/2021 21:47
2265;49;4;507,47;04/10/2021 21:48
2266;248;5;2450,1;05/10/2021 00:47
2267;255;5;2455,3;05/10/2021 01:53
2268;257;5;2518,35;05/10/2021 02:52
2269;30;1;3522,59;05/10/2021 08:57
2270;49;4;499,49;05/10/2021 09:11
2271;49;4;478,07;05/10/2021 09:11
2272;49;4;411,76;05/10/2021 09:13
2273;49;2;269,03;05/10/2021 09:15
2274;49;4;278,56;05/10/2021 09:22
2275;49;4;282,38;05/10/2021 09:22
2276;181;4;2442,95;05/10/2021 09:42
2277;259;4;267,95;05/10/2021 11:23
2278;17;2;520,37;05/10/2021 11:43
2279;77;4;413,15;05/10/2021 12:55
2280;77;2;482,4;05/10/2021 12:56
2281;97;3;503,33;05/10/2021 13:02
2282;36;4;427,99;05/10/2021 14:10
2283;;4;226,1;05/10/2021 14:38
2284;181;2;2431,37;05/10/2021 15:46
2285;199;4;269,39;05/10/2021 15:56
2286;264;3;291,32;05/10/2021 16:09
2287;;3;2612,39;05/10/2021 16:24
2288;69;2;617,66;05/10/2021 16:38
2289;259;4;293,61;05/10/2021 18:54
2290;259;1;319,65;05/10/2021 18:57
2291;218;4;2958;05/10/2021 20:45
2292;218;4;2879,25;05/10/2021 20:46
2293;218;4;2887,42;05/10/2021 20:46
2294;218;4;2823,29;05/10/2021 20:46
2295;270;4;302,02;05/10/2021 21:58
2296;218;1;1424,21;06/10/2021 11:30
2297;96;3;268,92;06/10/2021 11:34
2298;279;1;242,73;06/10/2021 14:33
2299;;3;711,61;06/10/2021 14:35
2300;;2;604,2;06/10/2021 14:41
2301;22;2;707,26;06/10/2021 14:57
2302;;1;2720,79;06/10/2021 15:32
2303;147;2;453,31;06/10/2021 17:22
2304;94;1;293,66;06/10/2021 17:29
2305;283;4;236,25;06/10/2021 18:13
2306;283;1;315,26;06/10/2021 18:14
2307;53;2;1817,66;06/10/2021 20:08
2308;285;2;1475,15;07/10/2021 06:35
2309;113;4;1956,12;07/10/2021 07:50
2310;113;2;1933,65;07/10/2021 07:52
2311;287;4;228,08;07/10/2021 09:48
2312;41;4;263,97;07/10/2021 09:57
2313;287;4;447,3;07/10/2021 09:58
2314;287;4;446,37;07/10/2021 10:00
2315;287;4;440;07/10/2021 10:00
2316;287;4;452,89;07/10/2021 10:01
2317;287;4;407,12;07/10/2021 10:01
2318;12;1;166,17;07/10/2021 11:25
2319;186;2;480,59;07/10/2021 11:43
2320;41;3;240,53;07/10/2021 13:27
2321;34;1;1830,47;07/10/2021 14:53
2322;184;1;270,55;07/10/2021 14:55
2323;178;4;686,6;07/10/2021 15:37
2324;157;2;804,49;07/10/2021 16:05
2325;40;1;1569,94;07/10/2021 16:26
2326;174;4;248,8;07/10/2021 19:17
2327;191;4;259,96;07/10/2021 19:23
2328;191;4;539,28;07/10/2021 19:25
2329;291;2;301,6;07/10/2021 19:39
2330;174;2;262,14;07/10/2021 20:30
2331;170;4;512,11;07/10/2021 20:30
2332;170;4;479,53;07/10/2021 20:30
2333;293;3;230,16;08/10/2021 02:46
2334;142;4;2485,62;08/10/2021 08:44
2335;93;2;241,93;08/10/2021 09:32
2336;180;3;2103,74;08/10/2021 09:34
2337;253;3;286,51;08/10/2021 11:04
2338;295;1;932,53;08/10/2021 11:08
2339;297;3;246;08/10/2021 13:18
2340;175;3;212,74;08/10/2021 14:52
2341;301;4;2031,26;08/10/2021 15:24
2342;301;4;1989,33;08/10/2021 15:25
2343;301;4;658,33;08/10/2021 15:28
2344;303;3;643,04;08/10/2021 16:41
2345;1;4;5496,05;08/10/2021 18:03
2346;301;1;741,12;08/10/2021 18:55
2347;305;3;243,75;08/10/2021 18:57
2348;308;2;318,13;09/10/2021 09:43
2349;61;1;646,96;09/10/2021 11:16
2350;45;1;677,71;09/10/2021 11:29
2351;71;4;295,64;09/10/2021 12:02
2352;102;4;606,55;09/10/2021 12:10
2353;102;4;473,18;09/10/2021 12:11
2354;102;2;507,3;09/10/2021 12:14
2355;312;4;282,09;09/10/2021 17:31
2356;121;4;271,9;09/10/2021 20:33
2357;315;4;696,28;09/10/2021 21:20
2358;203;2;1042;09/10/2021 21:37
2359;318;4;3301,27;09/10/2021 21:41
2360;203;1;740,1;09/10/2021 21:58
2361;159;1;456,18;09/10/2021 22:23
2362;321;2;347,08;10/10/2021 10:46
2363;323;2;299,78;10/10/2021 12:40
2364;325;1;300,82;10/10/2021 13:34
2365;142;4;704,43;11/10/2021 06:04
2366;142;1;648,95;11/10/2021 06:38
2367;185;3;253,23;11/10/2021 10:13
2368;329;3;2466,17;11/10/2021 11:29
2369;183;4;255,91;11/10/2021 14:02
2370;129;3;220,88;11/10/2021 14:22
2371;179;4;2401,29;11/10/2021 14:24
2372;104;2;2651,13;11/10/2021 16:41
2373;211;4;314,53;11/10/2021 16:58
2374;86;4;3525,07;11/10/2021 17:11
2375;7;2;586,31;11/10/2021 17:27
2376;332;4;688,21;11/10/2021 19:15
2377;86;1;3502,23;11/10/2021 20:59
2378;99;2;224,3;11/10/2021 21:35
2379;114;4;2790,14;12/10/2021 10:04
2380;193;3;642,88;12/10/2021 10:15
2381;338;1;605,66;12/10/2021 11:20
2382;161;4;6145,16;12/10/2021 13:08
2383;161;4;726,6;12/10/2021 13:10
2384;341;2;266,52;13/10/2021 08:37
2385;155;2;464,93;13/10/2021 09:38
2386;24;3;2820,19;13/10/2021 09:43
2387;156;3;977,54;13/10/2021 10:36
2388;343;3;3766,45;13/10/2021 11:08
2389;23;2;451,35;13/10/2021 11:48
2390;48;4;494,99;13/10/2021 11:53
2391;170;2;519,54;13/10/2021 12:59
2392;141;3;2272,81;13/10/2021 13:13
2393;336;4;2547,15;13/10/2021 13:17
2394;;3;455,95;13/10/2021 13:20
2395;336;2;2523,32;13/10/2021 13:20
2396;210;4;563,74;13/10/2021 13:56
2397;;1;236,42;13/10/2021 14:00
2398;114;2;2494,2;13/10/2021 14:12
2399;134;2;631,01;13/10/2021 14:31
2400;124;4;630,74;13/10/2021 14:39
2401;124;1;299,53;13/10/2021 14:40
2402;349;4;2131,25;13/10/2021 16:09
2403;14;1;3515,83;13/10/2021 16:16
2404;65;2;425,24;13/10/2021 16:33
2405;352;2;305,91;13/10/2021 17:39
2406;194;1;506,95;14/10/2021 09:35
2407;;3;303,15;14/10/2021 10:03
2408;44;2;447,51;14/10/2021 11:05
2409;207;2;443,9;14/10/2021 12:09
2410;357;3;285,35;14/10/2021 12:34
2411;362;4;413,05;14/10/2021 14:28
2412;359;3;248,16;14/10/2021 14:30
2413;88;4;1006,4;14/10/2021 19:29
2414;364;4;269,62;14/10/2021 19:58
2415;219;4;220,23;15/10/2021 08:24
2416;58;1;433,88;15/10/2021 09:45
2417;140;3;316,42;15/10/2021 09:50
2418;149;4;671,57;15/10/2021 10:07
2419;;3;496,13;15/10/2021 11:00
2420;21;4;1524,65;15/10/2021 11:12
2421;21;1;1584,56;15/10/2021 11:22
